"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"483","Ladies...rock your pearls! No matter what country you live in...this is a historic day. <U+2764><U+0001F64F> #InaugurationDay… https://t.co/eoes0DwITp",FALSE,0,NA,2021-01-20 15:33:44,TRUE,NA,"1351915824739721217",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HilaryChambers1",0,FALSE,FALSE,NA,NA
"484","Me hacen mucha gracia los posts de políticos felicitándose por llegar al cargo equis en lugar de celebrar lo que co… https://t.co/KNfZvIZ880",FALSE,0,NA,2021-01-20 15:26:47,TRUE,NA,"1351914073953361920",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","iamxa",0,FALSE,FALSE,NA,NA
"485","I've been waiting for over 50 years to see a woman b sworn in ! My heart is filled with joy ! Hearing Congresswoman… https://t.co/QFrD2LcF51",FALSE,0,NA,2021-01-20 15:26:27,TRUE,NA,"1351913992470585348",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","granisnark12",0,FALSE,FALSE,NA,NA
"486","@BidenInaugural <U+0001F1FA><U+0001F1F8><U+0001F499>
@JoeBiden <U+0001F499><U+0001F1FA><U+0001F1F8>
@KamalaHarris <U+0001F499><U+0001F1FA><U+0001F1F8>
#WeJustDid <U+0001F1FA><U+0001F1F8><U+0001F44D><U+0001F3FC>
#SiSePuede<U+270A><U+0001F3FC><U+270A><U+0001F3FD><U+270A><U+0001F3FE>
#YesWeCan 
Reunite the thousan… https://t.co/jwb0jUyFSE",FALSE,1,"BidenInaugural",2021-01-20 15:25:39,TRUE,NA,"1351913788421730311","1333168873860984832","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DsOchoa",1,FALSE,FALSE,NA,NA
"487","Today, we celebrate a milestone for all Americans with Kamala Harris's election as the first black woman vice presi… https://t.co/dY0qYTvXMg",FALSE,4,NA,2021-01-20 15:15:00,TRUE,NA,"1351911109242937352",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","TheAscendFund",2,FALSE,FALSE,NA,NA
"488","Girls! #KamalaHarrisMakingHistory  
#Vote #Believe #YesWeCan #SisePuede #MeToo https://t.co/WtHdtcBdfp",FALSE,0,NA,2021-01-20 15:08:12,FALSE,NA,"1351909398990483456",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","alimons",0,FALSE,FALSE,NA,NA
"489","Naravno da sam ja pratila ovu najhladniju #Inauguration 2009. i #yeswecan, 10 sati na hladnoci I vjetru na Pennsylv… https://t.co/DtYqxU1YDi",FALSE,23,NA,2021-01-20 15:05:44,TRUE,NA,"1351908775809187855",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mila_moralic",1,FALSE,FALSE,NA,NA
"490","@JoeBiden @_TheAncientOne_ The road to recovery begins today!
The Biden/Harris administration WILL #BuildBackBetter… https://t.co/oXnDWqkH3Y",FALSE,1,"JoeBiden",2021-01-20 14:55:16,TRUE,"1351897267666608129","1351906141534564355","939091","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","240somewhere",0,FALSE,FALSE,NA,NA
"491","<U+2066>@JoeBiden<U+2069> started his Presidential campaign in <U+2066>@DowntownPitt<U+2069> last April! <U+2066>@JoeBiden<U+2069> Is our BRIDGE to unity! Le… https://t.co/NIk6gVZHDQ",FALSE,2,NA,2021-01-20 14:43:31,TRUE,NA,"1351903186349649921",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","sunshineburgh",0,FALSE,FALSE,NA,NA
"492","@MusingsHistory Pocks can be crooked, too! #YesWeCan",FALSE,0,"MusingsHistory",2021-01-20 14:25:57,FALSE,"1351898564767731716","1351898764706017284","1229854104014540808","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BurksAndCaicos",0,FALSE,FALSE,NA,NA
"493","Time for some #Crewe Ranger Re-adjustments to remove this eyesore #CleanCrewe #CreweTown #CreweNews #YesWeCan… https://t.co/WoPvjIiImV",FALSE,4,NA,2021-01-20 14:22:28,TRUE,NA,"1351897890885672962",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Crewe_Ranger",0,FALSE,FALSE,NA,NA
"494","NoCovid ist <U+0001F31F><U+0001F31F><U+0001F31F>, nur leider negativ formuliert, daran scheitert es. Es braucht ein #yeswecan eine #backtolive  Über… https://t.co/EMnYKW6clL",FALSE,0,NA,2021-01-20 14:15:43,TRUE,NA,"1351896191995420674",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CGC_PR",0,FALSE,FALSE,NA,NA
